UniqueID ,Customer problems,Customer comments after the ticket is closed,problem_text,comment_text,problem_category,comment_category
250603.0009012,"Tôi đã bị trừ tiền khi giao dịch. Giao dịch thất bại nhưng tôi vẫn chưa nhận được số tiền hoàn
",Tại sao lúc ở cửa hàng thì nhân viên bảo momo tự hoàn nhưng giờ về phải giải quyết báo cáo như này ạ. Cuối cùng vẫn chưa được hoàn tiền và giải quyết.,tôi đã bị trừ tiền khi giao dịch giao dịch thất bại nhưng tôi vẫn chưa nhận được số tiền hoàn,tại sao lúc ở cửa hàng thì nhân viên bảo momo tự hoàn nhưng giờ về phải giải quyết báo cáo như này ạ cuối cùng vẫn chưa được hoàn tiền và giải quyết,Money missing / Deducted but not received,Unresolved / Not solved
250603.0015708,"Kiểm tra giúp gd 14685811235, báo trừ ví nhưng bên nhận chưa có. Kiểm tra lịch sử không có gd này
",Hài long,kiểm tra giúp gd 14685811235 báo trừ ví nhưng bên nhận chưa có kiểm tra lịch sử không có gd này,hài long,Transfer issues / Recipient not received,Resolved / Very satisfied
250603.0016199,"Chiều nay tôi tt XanhSM nhưng không thành công cho lượt về , xin kt và xử lí giúp ạ , để tôi còn thực hiện giao dịch khách , cám ơn ","Mong muốn của tôi là tại sao không thanh toán qua MoMo như lần kề đó , ( tt thất bại ) và tiền chưa bị trừ mà bị từ chối nên không có việc giàn lại , 
 Có vẻ  cskh là tự động ? ",chiều nay tôi tt xanhsm nhưng không thành công cho lượt về xin kt và xử lí giúp ạ để tôi còn thực hiện giao dịch khách cám ơn,mong muốn của tôi là tại sao không thanh toán qua momo như lần kề đó tt thất bại và tiền chưa bị trừ mà bị từ chối nên không có việc giàn lại có vẻ cskh là tự động,Partner platform issues,Unresolved / Not solved
250603.0015519,"Tôi có sử dụng ứng dụng Sendo và liên kết với Momo để thanh toán nhưng bị lỗi không thể thanh toán, mã giao dịch là: 89548646681, vui lòng xem lại và hoàn tiền lại cho tôi. Xin cảm ơn!",Ok,tôi có sử dụng ứng dụng sendo và liên kết với momo để thanh toán nhưng bị lỗi không thể thanh toán mã giao dịch là 89548646681 vui lòng xem lại và hoàn tiền lại cho tôi xin cảm ơn,ok,Refund not processed,Neutral / Acknowledged
250603.0014043,"Giao dịch không thành công nhưng vẫn bị trừ tiền
","Vẫn chưa giải quyết được, tiền vẫn chưa được hoàn vào tài khoản ",giao dịch không thành công nhưng vẫn bị trừ tiền,vẫn chưa giải quyết được tiền vẫn chưa được hoàn vào tài khoản,Money missing / Deducted but not received,Unresolved / Not solved
250603.0017926,"Vẫn chưa nhận dc tiền 
",Vẫn chưa nhận dc,vẫn chưa nhận dc tiền,vẫn chưa nhận dc,Money missing / Deducted but not received,Unresolved / Not solved
250603.0020168,"Thanh toán thành công, nhưng chưa nhận được sản phẩm",Vấn đề của mình vẫn đang chờ đợi. Chưa hoàn nguồn tiền mua sản phẩm bị lỗi.,thanh toán thành công nhưng chưa nhận được sản phẩm,vấn đề của mình vẫn đang chờ đợi chưa hoàn nguồn tiền mua sản phẩm bị lỗi,Paid but service not delivered,Unresolved / Not solved
250603.0016623,Tôi mua 2 vé xem phim với ưu đãi 65k / vé. Khi thanh toán hiện ra 130k ngưng ấn tiếp tục lại phải thanh toán với số tièn 220k,"Liên hệ bên lotte thì báo liên hệ momo. Giờ momo trả lời liên hệ lotte. Chịu luôn
",tôi mua 2 vé xem phim với ưu đãi 65k vé khi thanh toán hiện ra 130k ngưng ấn tiếp tục lại phải thanh toán với số tièn 220k,liên hệ bên lotte thì báo liên hệ momo giờ momo trả lời liên hệ lotte chịu luôn,Partner platform issues,Unresolved / Not solved
250603.0002166,Ko nhận được sản phẩm trong game,"Vẫn chưa được hoàn trả
",ko nhận được sản phẩm trong game,vẫn chưa được hoàn trả,Partner platform issues,Unresolved / Not solved
250603.0002772,"Nội dung KH: Tôi đã thanh toán nhưng vẫn chưa nhận được mã thẻ
 Ticket trước: 250602.0011427
 Nội dung re-open: Chưa nhận được mã thẻ",Xử lý quá lâu và tôi vẫn chưa nhận được mã thẻ tôi đã thanh toán,nội dung kh tôi đã thanh toán nhưng vẫn chưa nhận được mã thẻ ticket trước 250602 0011427 nội dung re open chưa nhận được mã thẻ,xử lý quá lâu và tôi vẫn chưa nhận được mã thẻ tôi đã thanh toán,Money missing / Deducted but not received,Unresolved / Not solved
250603.0017338,"Sao nạp thành công ở momo . Ở trong Game cần nạp ko nhận dc nhỉ 
",Vẫn chưa được giải quyết ,sao nạp thành công ở momo ở trong game cần nạp ko nhận dc nhỉ,vẫn chưa được giải quyết,Partner platform issues,Unresolved / Not solved
250603.0015647,"Tôi đã bị mất tiền trong ví momo , số tiền còn lại trong ví là không hợp lý 
",Giải quyết chưa đúng vấn đề tôi muốn ,tôi đã bị mất tiền trong ví momo số tiền còn lại trong ví là không hợp lý,giải quyết chưa đúng vấn đề tôi muốn,Money missing / Deducted but not received,Unresolved / Not solved
250603.0007649,"Nội dung KH: W2B - AS - Chuyển tiền tới ngân hàng - Giao dịch đang chờ xử lý
 Ticket trước: 250529.0000307
 Nội dung re-open: chưa đc giải quyết",cái đm bọn bịp,nội dung kh w2b as chuyển tiền tới ngân hàng giao dịch đang chờ xử lý ticket trước 250529 0000307 nội dung re open chưa đc giải quyết,cái đm bọn bịp,Transfer issues / Recipient not received,Angry / Escalation
250603.0001143,Tui muốn thu hồi là giao dịch này,Tui vẫn chx nhận lại dc số tiền tui cần thu hồi,tui muốn thu hồi là giao dịch này,tui vẫn chx nhận lại dc số tiền tui cần thu hồi,Subscription / Cancellation issues,Unresolved / Not solved
250603.0009542,"Thanh toán không thành công mà bị trừ tiền , bên texax chicken cũng không nhận được tiền","Tôi cần tiền hoàn vào ví tôi , sao lại để tiền trừ vào texas vào sáng hôm sau . Tôi không mua đc hàng mà còn bị trừ tiền",thanh toán không thành công mà bị trừ tiền bên texax chicken cũng không nhận được tiền,tôi cần tiền hoàn vào ví tôi sao lại để tiền trừ vào texas vào sáng hôm sau tôi không mua đc hàng mà còn bị trừ tiền,Money missing / Deducted but not received,Other
250603.0010144,89538010219 chưa nhận đc tiền hoàn ,Ok,89538010219 chưa nhận đc tiền hoàn,ok,Refund not processed,Neutral / Acknowledged
250603.0015039,chuyển khoản lỗi ,chưa giải quyết,chuyển khoản lỗi,chưa giải quyết,Transfer issues / Recipient not received,Unresolved / Not solved
250603.0017681,kh thành công mà vẫn trừ tiền là sao ạ?,"
",kh thành công mà vẫn trừ tiền là sao ạ,,Money missing / Deducted but not received,Other
250603.0008072,Thanh toán ko thanh cong bi trừ tiền ,Tốt 👍👌,thanh toán ko thanh cong bi trừ tiền,tốt,Money missing / Deducted but not received,Other
250603.0013736,Giao dịch thất bại nhưng vẫn trừ tiền,2 phiếu từ đang xử lí chuyển thành thất bại nhưng mình vẫn chưa nhận đc tiền hoàn,giao dịch thất bại nhưng vẫn trừ tiền,2 phiếu từ đang xử lí chuyển thành thất bại nhưng mình vẫn chưa nhận đc tiền hoàn,Money missing / Deducted but not received,Unresolved / Not solved
250603.0008728,Cửa hàng không nhận được tiền nhưng tài khoảng của tôi vẫn bị trừ tiênd,"Chưa xử lý xong, tôi chưa nhận được hoàn tiền",cửa hàng không nhận được tiền nhưng tài khoảng của tôi vẫn bị trừ tiênd,chưa xử lý xong tôi chưa nhận được hoàn tiền,Money missing / Deducted but not received,Unresolved / Not solved
250603.0016163,"Nội dung KH: Tôi mua hành tại coopmak nguyễn ảnh thủ, thanh toán 380,800 hai lần, Tổng cộng:  769,600 đồng. MoMO đã trừ tiền ví trả sau của tôi, nhưng giao dịch thì thất bại. Mong momo hoàn tiền trả trở lại ví mo mo/ ví trả sau cho tôi. tôi xin chân thành cảm ơn!
 Hỗ trợ thêm từ: 250603.0014379",Chào bạn Tâm!. Vấn đề của tôi đã được giải quyết tốt. Cảm ơn bạn Tâm và MOMO rất nhiều. Trân Trọng-Trần Hường.,nội dung kh tôi mua hành tại coopmak nguyễn ảnh thủ thanh toán 380 800 hai lần tổng cộng 769 600 đồng momo đã trừ tiền ví trả sau của tôi nhưng giao dịch thì thất bại mong momo hoàn tiền trả trở lại ví mo mo ví trả sau cho tôi tôi xin chân thành cảm ơn hỗ trợ thêm từ 250603 0014379,chào bạn tâm vấn đề của tôi đã được giải quyết tốt cảm ơn bạn tâm và momo rất nhiều trân trọng trần hường,Money missing / Deducted but not received,Unresolved / Not solved
250603.0002908,"Nội dung KH: 

 Ticket trước: 250531.0003798
 Nội dung re-open: Hoàn tiền để mua vé đi ạ",Chán k thèm ý kiến ,nội dung kh ticket trước 250531 0003798 nội dung re open hoàn tiền để mua vé đi ạ,chán k thèm ý kiến,Transfer issues / Recipient not received,Unresolved / Not solved
250603.0005376,Tài khoản momo của tôi đã xác thực hết rồi nhưng không thấy có mã ưu đãi nhiều như trước nhưng tài khoản của bạn tôi lại có rất nhiều mã,Tôi không biết tại sao tài khoản của tôi vẫn dùng bth nhưng lại ko đủ điều kiện trong khi trước đó tôi vẫn sử dụng bình thường như mọi lần,tài khoản momo của tôi đã xác thực hết rồi nhưng không thấy có mã ưu đãi nhiều như trước nhưng tài khoản của bạn tôi lại có rất nhiều mã,tôi không biết tại sao tài khoản của tôi vẫn dùng bth nhưng lại ko đủ điều kiện trong khi trước đó tôi vẫn sử dụng bình thường như mọi lần,Account / Identity issues,Angry / Escalation
250603.0000174,"Nội dung KH: Không vui khi lấy tiền ngana hàng đi thanh toán nh ko thông báo 
 Hỗ trợ thêm từ: 250603.0000016",Ok duyệt ,nội dung kh không vui khi lấy tiền ngana hàng đi thanh toán nh ko thông báo hỗ trợ thêm từ 250603 0000016,ok duyệt,Other / Unclear,Neutral / Acknowledged
250603.0016293,Khách hàng đã chuyển tiền mà bên tài khoản nhận chưa thấy có .,Giải quyết rất chậm.  ,khách hàng đã chuyển tiền mà bên tài khoản nhận chưa thấy có,giải quyết rất chậm,Transfer issues / Recipient not received,Unresolved / Not solved
250603.0014702,Kiểm tra ma giao dịch này sao chưa vào tien,Ok ,kiểm tra ma giao dịch này sao chưa vào tien,ok,Money missing / Deducted but not received,Neutral / Acknowledged
250603.0001667,Mình có đặt 2 lệnh mua chứng khoán trên CVS với voucher hoàn tiền 0.1% nhưng vẫn chưa được hoàn tiền. Đề nghị trợ giúp. Xin cảm ơn.,Vẫn chưa được hoàn tiền.,mình có đặt 2 lệnh mua chứng khoán trên cvs với voucher hoàn tiền 0 1 nhưng vẫn chưa được hoàn tiền đề nghị trợ giúp xin cảm ơn,vẫn chưa được hoàn tiền,Refund not processed,Unresolved / Not solved
250603.0007623,"Nội dung KH: Kiểm tra giúp mình xem ngân hàng đang liên kết sdt nào
 Hỗ trợ thêm từ: 250603.0006812","Chào momo, sdt 0347651934 mình không còn dùng từ lâu rồi, momo có thể giúp mình đổi sang số mới này không ",nội dung kh kiểm tra giúp mình xem ngân hàng đang liên kết sdt nào hỗ trợ thêm từ 250603 0006812,chào momo sdt 0347651934 mình không còn dùng từ lâu rồi momo có thể giúp mình đổi sang số mới này không,Other / Unclear,Unresolved / Not solved
250603.0004642,Ví trả sau duyệt hồ sơ hơn gần 2 tuần vẫn chưa xong,Vay nhanh chưa vay được,ví trả sau duyệt hồ sơ hơn gần 2 tuần vẫn chưa xong,vay nhanh chưa vay được,Loan / BNPL / Debt issues,Unresolved / Not solved
250603.0003481,"1/6 e có ck từ vietcombank qua momo như hình nhưng tài khoản vietcombank đã trừ tiền mà momo vẫn ch nhận được, e có liên hệ bên CSKH hỗ trợ thì bảo sau 2 ngày sẽ được hoàn lại tiền, vậy hôm nay e sẽ được hoàn lại đúng không ạ
","vẫn chưa nhận được tiền e k biết bên mình giải quyết như thế nào
",1 6 e có ck từ vietcombank qua momo như hình nhưng tài khoản vietcombank đã trừ tiền mà momo vẫn ch nhận được e có liên hệ bên cskh hỗ trợ thì bảo sau 2 ngày sẽ được hoàn lại tiền vậy hôm nay e sẽ được hoàn lại đúng không ạ,vẫn chưa nhận được tiền e k biết bên mình giải quyết như thế nào,Money missing / Deducted but not received,Unresolved / Not solved
250603.0004927,Mình thanh toán thẻ tín dụng tp từ 5 ngày trước sao vẫn chưa cập nhật ,Hạn mức thẻ tp bank của tôi vẫn chưa được cập nhật,mình thanh toán thẻ tín dụng tp từ 5 ngày trước sao vẫn chưa cập nhật,hạn mức thẻ tp bank của tôi vẫn chưa được cập nhật,Card / Top-up / Voucher issues,Unresolved / Not solved
250603.0013992,"Nội dung KH: Vẫn chưa thấy hoàn tiền 

Tiền góp 1 tháng là 2tr7 hơn 

Nhưng đóng 2 lần 3tr1 
 Hỗ trợ thêm từ: 250602.0002383",Chưa rõ thông tin xử lý chưa,nội dung kh vẫn chưa thấy hoàn tiền tiền góp 1 tháng là 2tr7 hơn nhưng đóng 2 lần 3tr1 hỗ trợ thêm từ 250602 0002383,chưa rõ thông tin xử lý chưa,Refund not processed,Unresolved / Not solved
250603.0001196,Tối cài đặt thanh toán tiền điện hàng tháng là thử tín dụng sao tháng này chuyển sang ví trả sau vậy,Những phần cài đặt mặc định vui lòng gửi cảnh báo cho khách hàng tránh sự cố đang tiếc xảy ra tương tự ,tối cài đặt thanh toán tiền điện hàng tháng là thử tín dụng sao tháng này chuyển sang ví trả sau vậy,những phần cài đặt mặc định vui lòng gửi cảnh báo cho khách hàng tránh sự cố đang tiếc xảy ra tương tự,Loan / BNPL / Debt issues,Unresolved / Not solved
250603.0007009,"Nội dung KH: Đã liên hệ với google và Duolingo, không có  khoản phí nào cần phải thanh toán, nhưng momo tự động trừ tiền ngân hàng để thanh toán khoản phí không phát sinh.
 Hỗ trợ thêm từ: 250602.0007317","Vấn đề trừ tiền của tôi vẫn chưa được giải quyết, tôi đã cung cấp tk của tôi không hề sử dụng dịch vụ nào và đã gửi kèm email  nhà cung cấp là Duolingo phản hồi tôi không hề sử dụng dịch vụ nào của nhà cung cấp.",nội dung kh đã liên hệ với google và duolingo không có khoản phí nào cần phải thanh toán nhưng momo tự động trừ tiền ngân hàng để thanh toán khoản phí không phát sinh hỗ trợ thêm từ 250602 0007317,vấn đề trừ tiền của tôi vẫn chưa được giải quyết tôi đã cung cấp tk của tôi không hề sử dụng dịch vụ nào và đã gửi kèm email nhà cung cấp là duolingo phản hồi tôi không hề sử dụng dịch vụ nào của nhà cung cấp,Money missing / Deducted but not received,Unresolved / Not solved
250603.0005183,Tôi muốn tạo tài khoản ngay lập tức 🫶,"Toiii muốn có ngân hàng 
",tôi muốn tạo tài khoản ngay lập tức,toiii muốn có ngân hàng,Account / Identity issues,Other
250603.0017494,"T cần người huỷ gói trả góp 12 tháng ví trả sau t vừa bấm nhầm
","Phản hồi chậm, là đối tác thì ko có quyền yêu càu à???? Hay gài người tiêu dùng ? Đề nghị xử lý ngay vấn đề này cho tao. T đã báo là bấm nhầm rồi, do vấn đề cài đặt quét face id để duyệt qá nhanh k xử lý kịp",t cần người huỷ gói trả góp 12 tháng ví trả sau t vừa bấm nhầm,phản hồi chậm là đối tác thì ko có quyền yêu càu à hay gài người tiêu dùng đề nghị xử lý ngay vấn đề này cho tao t đã báo là bấm nhầm rồi do vấn đề cài đặt quét face id để duyệt qá nhanh k xử lý kịp,Subscription / Cancellation issues,Unresolved / Not solved
250603.0000439,"Tại sao trừ tiền tài khoản của tôi khi chưa đc sự đồng ý hãy giải thích và trả lại tiền cho tôi 

",Tôi vẫn chưa nhận đc lại tiền mik mất nên k hài lòng về cách giải quyết của các Bn chút nào ,tại sao trừ tiền tài khoản của tôi khi chưa đc sự đồng ý hãy giải thích và trả lại tiền cho tôi,tôi vẫn chưa nhận đc lại tiền mik mất nên k hài lòng về cách giải quyết của các bn chút nào,Money missing / Deducted but not received,Unresolved / Not solved
250603.0019717,Tôi không thanh toán ứng dụng này,"Momo rất tuyệt vời , CSKH trả lời nhanh và tận tình",tôi không thanh toán ứng dụng này,momo rất tuyệt vời cskh trả lời nhanh và tận tình,Unauthorized / Auto charge,Resolved / Very satisfied
250603.0001431,"Nội dung KH: ko thấy gởi mail hay gì hết
 Hỗ trợ thêm từ: 250602.0005609","Ko giải quyết đc vấn đề chính, cho bộ phận chăm sóc khách hàng vào nói chung chung, yêu cầu khách hàng ko giải quyết, ko gởi mail mặc dù đã yêy cầu nhiều lần. Nói chung là quá tệ giờ ko biết 200.000 ko nộp đc mất đi đâu",nội dung kh ko thấy gởi mail hay gì hết hỗ trợ thêm từ 250602 0005609,ko giải quyết đc vấn đề chính cho bộ phận chăm sóc khách hàng vào nói chung chung yêu cầu khách hàng ko giải quyết ko gởi mail mặc dù đã yêy cầu nhiều lần nói chung là quá tệ giờ ko biết 200 000 ko nộp đc mất đi đâu,Other / Unclear,Angry / Escalation
250603.0018401,Tôi đã thanh toán bằng tiền mặt khi thanh toán không hoàn thành.,Xử lý vô cùng chậm (chưa hài lòng về điều đó). Nhưng cũng đã giải quyết thoải đáng nên tôi không ý kiến gì thêm.,tôi đã thanh toán bằng tiền mặt khi thanh toán không hoàn thành,xử lý vô cùng chậm chưa hài lòng về điều đó nhưng cũng đã giải quyết thoải đáng nên tôi không ý kiến gì thêm,Other / Unclear,Unresolved / Not solved
250603.0005497,Ấn nhầm. Khi thanh toán app scamcanner ,"Giờ kêu không hủy
Là sao cho t xin tổng đài scamcanner đi",ấn nhầm khi thanh toán app scamcanner,giờ kêu không hủy là sao cho t xin tổng đài scamcanner đi,Fraud / Scam,Angry / Escalation
250603.0009546,Tôi muốn lấy lại tiền ,Trẻ con ko biết chữ làm sao mà thanh toán kiểu j vậy chò chơi trên chplay  cũng phải nhập mật khẩu mới thanh toán đc mà đây ko cần vẫn thanh toán đc ,tôi muốn lấy lại tiền,trẻ con ko biết chữ làm sao mà thanh toán kiểu j vậy chò chơi trên chplay cũng phải nhập mật khẩu mới thanh toán đc mà đây ko cần vẫn thanh toán đc,Other / Unclear,Unresolved / Not solved
250603.0000447,"Đã chuyển thành công nhưng người nhận không nhận được tiền. Chuyển vào ngân hàng Vikkibank, nhưng momo chỉ hiện tên ngân hàng cũ là Đông Á Bank. Momo báo chuyển tiền thành công, đúng tên người nhận, nhưng tài khoản người nhận không được cộng tiền",Sau 48h bên phía người nhận vẫn chưa nhận được tiền ạ,đã chuyển thành công nhưng người nhận không nhận được tiền chuyển vào ngân hàng vikkibank nhưng momo chỉ hiện tên ngân hàng cũ là đông á bank momo báo chuyển tiền thành công đúng tên người nhận nhưng tài khoản người nhận không được cộng tiền,sau 48h bên phía người nhận vẫn chưa nhận được tiền ạ,Money missing / Deducted but not received,Unresolved / Not solved
250615.0009953,null 01MMTTT0067663868,"Số tài khoản: 8882869790 
Chủ tài khoản: NGUYEN VAN NU 
BIDV (Ngân hàng TMCP Đầu tư và Phát triển Việt Nam)",null 01mmttt0067663868,số tài khoản 8882869790 chủ tài khoản nguyen van nu bidv ngân hàng tmcp đầu tư và phát triển việt nam,Other / Unclear,Unresolved / Not solved
250615.0001258,"Hãy xử lý nhanh giúp tôi
",Hãy xử lý nhanh giúp tôi,hãy xử lý nhanh giúp tôi,hãy xử lý nhanh giúp tôi,Other / Unclear,Pending / Waiting
250615.0000578,"Tôi bị mất sim và sim đã liên kết với tài khoản ngân hàng của tôi 
Nên hiện tại tôi không thể liên kết ngân hàng trong ví momo với số điện thoại mới
","Tôi chưa được giải quyết vấn đề
Tôi muốn gọi trực tiếp với cskh để được hỗ trợ",tôi bị mất sim và sim đã liên kết với tài khoản ngân hàng của tôi nên hiện tại tôi không thể liên kết ngân hàng trong ví momo với số điện thoại mới,tôi chưa được giải quyết vấn đề tôi muốn gọi trực tiếp với cskh để được hỗ trợ,Bank linking / Bank sync issues,Unresolved / Not solved
250615.0001366,"Tôi muốn xóa momo sdt 0334333313 vì đã mất số không còn dùng nữa và chỉ còn xài 2 tài khoản momo 0971983470,0344584413",Gửi hình ảnh đúng rồi có giải quyết đâu,tôi muốn xóa momo sdt 0334333313 vì đã mất số không còn dùng nữa và chỉ còn xài 2 tài khoản momo 0971983470 0344584413,gửi hình ảnh đúng rồi có giải quyết đâu,Account / Identity issues,Other
250615.0007488,Khách chuyển tiền đến trong tài khoản momo ko nhận dc,Tốt,khách chuyển tiền đến trong tài khoản momo ko nhận dc,tốt,Transfer issues / Recipient not received,Other
250615.0003884,"Nội dung KH: Tôi đã liên hệ ngân hàng. Họ nói ko có lỗi. Họ vẫn cấp mã OTP. Mà tôi nhập vào Momo báo lỗi
 Hỗ trợ thêm từ: 250613.0005466",Không liên kết được. 2 bên Momo và Vib đổ lỗi cho nhau,nội dung kh tôi đã liên hệ ngân hàng họ nói ko có lỗi họ vẫn cấp mã otp mà tôi nhập vào momo báo lỗi hỗ trợ thêm từ 250613 0005466,không liên kết được 2 bên momo và vib đổ lỗi cho nhau,Other / Unclear,Unresolved / Not solved
250615.0001178,"Không sử dụng được 4G
",Gói data tôi đăng ký dù đã kích hoạt rồi nhưng vẫn không thể xài được,không sử dụng được 4g,gói data tôi đăng ký dù đã kích hoạt rồi nhưng vẫn không thể xài được,Paid but service not delivered,Unresolved / Not solved
250615.0005392,quá lâu k duyệt,"Làm việc quá chán, lãi tất toán cắt cổ",quá lâu k duyệt,làm việc quá chán lãi tất toán cắt cổ,Other / Unclear,Unresolved / Not solved
250615.0006749,Đã tt xong vẫn bị làm phiền ảnh hưởng tới công việc,Đã thanh toán xong vẫn gọi điện thoại làm phiền ảnh hưởng tới công việc cá nhân ,đã tt xong vẫn bị làm phiền ảnh hưởng tới công việc,đã thanh toán xong vẫn gọi điện thoại làm phiền ảnh hưởng tới công việc cá nhân,Other / Unclear,Other
250615.0000489,Chuyển nhầm tiền ,Mất tiền không nhận lại được thì hài lòng cái gì,chuyển nhầm tiền,mất tiền không nhận lại được thì hài lòng cái gì,Transfer issues / Recipient not received,Other
250615.0010081,ví trả sau tạm khoá k dc,K dc,ví trả sau tạm khoá k dc,k dc,Loan / BNPL / Debt issues,Other
250615.0003361,E đăng ky chưa thấy momo duyệt ạ,chưa giải quyết mở khoản vay momo,e đăng ky chưa thấy momo duyệt ạ,chưa giải quyết mở khoản vay momo,Other / Unclear,Unresolved / Not solved
